,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
42,Jan 1-3,198537624,-27.3,219510014,-26.0,82,Star Wars: Episode VII - The Force Awakens,1,https://www.boxofficemojo.com/weekend/2016W01/?ref_=bo_wey_table_64,https://www.boxofficemojo.com/release/rl2691925505/?ref_=bo_wey_table_64
41,Jan 8-10,142912699,-28.0,159323600,-27.4,91,Star Wars: Episode VII - The Force Awakens,2,https://www.boxofficemojo.com/weekend/2016W02/?ref_=bo_wey_table_63,https://www.boxofficemojo.com/release/rl2691925505/?ref_=bo_wey_table_63
52,Jan 15-17,145502232,1.8,166004623,4.2,86,Ride Along 2,3,https://www.boxofficemojo.com/weekend/2016W03/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl678200833/?ref_=bo_wey_table_62
40,Jan 22-24,95736903,-34.2,113596503,-31.6,87,The Revenant,4,https://www.boxofficemojo.com/weekend/2016W04/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl3698165249/?ref_=bo_wey_table_60
39,Jan 29-31,118353833,23.6,139252676,22.6,99,Kung Fu Panda 3,5,https://www.boxofficemojo.com/weekend/2016W05/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl3546056193/?ref_=bo_wey_table_59
38,Feb 5-7,75395999,-36.3,95508876,-31.4,100,Kung Fu Panda 3,6,https://www.boxofficemojo.com/weekend/2016W06/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3546056193/?ref_=bo_wey_table_58
51,Feb 12-14,215810637,186.2,239154233,150.4,103,Deadpool,7,https://www.boxofficemojo.com/weekend/2016W07/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2588706305/?ref_=bo_wey_table_56
37,Feb 19-21,121119706,-43.9,141851056,-40.7,106,Deadpool,8,https://www.boxofficemojo.com/weekend/2016W08/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl2588706305/?ref_=bo_wey_table_55
36,Feb 26-28,91278176,-24.6,112386016,-20.8,91,Deadpool,9,https://www.boxofficemojo.com/weekend/2016W09/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl2588706305/?ref_=bo_wey_table_54
35,Mar 4-6,142568989,56.2,161499059,43.7,99,Zootopia,10,https://www.boxofficemojo.com/weekend/2016W10/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl4031743489/?ref_=bo_wey_table_53
34,Mar 11-13,118186835,-17.1,135301106,-16.2,111,Zootopia,11,https://www.boxofficemojo.com/weekend/2016W11/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl4031743489/?ref_=bo_wey_table_52
33,Mar 18-20,115774645,-2.0,131307311,-3.0,121,Zootopia,12,https://www.boxofficemojo.com/weekend/2016W12/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl4031743489/?ref_=bo_wey_table_51
50,Mar 25-27,243491430,110.3,252300615,92.1,104,Batman v Superman: Dawn of Justice,13,https://www.boxofficemojo.com/weekend/2016W13/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl2238875137/?ref_=bo_wey_table_49
32,Apr 1-3,118559272,-51.3,130889005,-48.1,114,Batman v Superman: Dawn of Justice,14,https://www.boxofficemojo.com/weekend/2016W14/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl2238875137/?ref_=bo_wey_table_48
31,Apr 8-10,91145188,-23.1,105246691,-19.6,119,The Boss,15,https://www.boxofficemojo.com/weekend/2016W15/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl1113753089/?ref_=bo_wey_table_47
30,Apr 15-17,165029225,81.1,176691491,67.9,118,The Jungle Book,16,https://www.boxofficemojo.com/weekend/2016W16/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl2455602689/?ref_=bo_wey_table_46
29,Apr 22-24,117626464,-28.7,128304144,-27.4,115,The Jungle Book,17,https://www.boxofficemojo.com/weekend/2016W17/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl2455602689/?ref_=bo_wey_table_45
28,Apr 29-May 1,96937478,-17.6,108604032,-15.4,114,The Jungle Book,18,https://www.boxofficemojo.com/weekend/2016W18/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl2455602689/?ref_=bo_wey_table_44
27,May 6-8,232395976,139.7,239468632,120.5,114,Captain America: Civil War,19,https://www.boxofficemojo.com/weekend/2016W19/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl3210970625/?ref_=bo_wey_table_43
26,May 13-15,123025320,-47.1,130908594,-45.3,119,Captain America: Civil War,20,https://www.boxofficemojo.com/weekend/2016W20/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl3210970625/?ref_=bo_wey_table_42
25,May 20-22,128324753,4.3,137158400,4.8,125,The Angry Birds Movie,21,https://www.boxofficemojo.com/weekend/2016W21/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl3343091201/?ref_=bo_wey_table_41
49,May 27-29,157294653,22.6,164133840,19.7,109,X-Men: Apocalypse,22,https://www.boxofficemojo.com/weekend/2016W22/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl1417315841/?ref_=bo_wey_table_40
24,Jun 3-5,123684021,-21.4,134999656,-17.8,102,Teenage Mutant Ninja Turtles: Out of the Shadows,23,https://www.boxofficemojo.com/weekend/2016W23/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl3530851841/?ref_=bo_wey_table_38
23,Jun 10-12,139567249,12.8,152792949,13.2,107,The Conjuring 2,24,https://www.boxofficemojo.com/weekend/2016W24/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl3813312001/?ref_=bo_wey_table_37
22,Jun 17-19,223184760,59.9,233178561,52.6,99,Finding Dory,25,https://www.boxofficemojo.com/weekend/2016W25/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl3764946433/?ref_=bo_wey_table_36
21,Jun 24-26,177111633,-20.6,188682746,-19.1,105,Finding Dory,26,https://www.boxofficemojo.com/weekend/2016W26/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl3764946433/?ref_=bo_wey_table_35
48,Jul 1-3,179579258,1.4,190593683,1.0,93,Finding Dory,27,https://www.boxofficemojo.com/weekend/2016W27/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl3764946433/?ref_=bo_wey_table_34
20,Jul 8-10,205989677,14.7,217491665,14.1,100,The Secret Life of Pets,28,https://www.boxofficemojo.com/weekend/2016W28/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl2069595649/?ref_=bo_wey_table_32
19,Jul 15-17,151409743,-26.5,163103247,-25.0,110,The Secret Life of Pets,29,https://www.boxofficemojo.com/weekend/2016W29/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl2069595649/?ref_=bo_wey_table_31
18,Jul 22-24,178420955,17.8,196083640,20.2,103,Star Trek Beyond,30,https://www.boxofficemojo.com/weekend/2016W30/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl2960360961/?ref_=bo_wey_table_30
17,Jul 29-31,174855310,-2.0,190037811,-3.1,103,Jason Bourne,31,https://www.boxofficemojo.com/weekend/2016W31/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl2537981441/?ref_=bo_wey_table_29
16,Aug 5-7,217747182,24.5,228766926,20.4,101,Suicide Squad,32,https://www.boxofficemojo.com/weekend/2016W32/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl1145865729/?ref_=bo_wey_table_28
15,Aug 12-14,153823583,-29.4,172300640,-24.7,113,Suicide Squad,33,https://www.boxofficemojo.com/weekend/2016W33/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl1145865729/?ref_=bo_wey_table_27
14,Aug 19-21,112417199,-26.9,132091889,-23.3,111,Suicide Squad,34,https://www.boxofficemojo.com/weekend/2016W34/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl1145865729/?ref_=bo_wey_table_26
13,Aug 26-28,91226565,-18.8,117321334,-11.2,107,Don't Breathe,35,https://www.boxofficemojo.com/weekend/2016W35/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl2692711937/?ref_=bo_wey_table_25
47,Sep 2-4,66887892,-26.7,100107664,-14.7,106,Don't Breathe,36,https://www.boxofficemojo.com/weekend/2016W36/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl2692711937/?ref_=bo_wey_table_24
12,Sep 9-11,80346710,20.1,100848825,0.7,122,Sully,37,https://www.boxofficemojo.com/weekend/2016W37/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl3581707777/?ref_=bo_wey_table_22
11,Sep 16-18,71090385,-11.5,90021653,-10.7,126,Sully,38,https://www.boxofficemojo.com/weekend/2016W38/?ref_=bo_wey_table_21,https://www.boxofficemojo.com/release/rl3581707777/?ref_=bo_wey_table_21
10,Sep 23-25,92840344,30.6,104137992,15.7,134,The Magnificent Seven,39,https://www.boxofficemojo.com/weekend/2016W39/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl3128788481/?ref_=bo_wey_table_20
9,Sep 30-Oct 2,102190772,10.1,114916308,10.4,136,Miss Peregrine's Home for Peculiar Children,40,https://www.boxofficemojo.com/weekend/2016W40/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl224953857/?ref_=bo_wey_table_19
46,Oct 7-9,93110131,-8.9,104318625,-9.2,127,The Girl on the Train,41,https://www.boxofficemojo.com/weekend/2016W41/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl1333560833/?ref_=bo_wey_table_18
8,Oct 14-16,84988876,-8.7,98992813,-5.1,127,The Accountant,42,https://www.boxofficemojo.com/weekend/2016W42/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl1702725121/?ref_=bo_wey_table_16
7,Oct 21-23,109125994,28.4,125010284,26.3,132,Boo! A Madea Halloween,43,https://www.boxofficemojo.com/weekend/2016W43/?ref_=bo_wey_table_15,https://www.boxofficemojo.com/release/rl746554881/?ref_=bo_wey_table_15
6,Oct 28-30,74204699,-32.0,88827696,-28.9,123,Boo! A Madea Halloween,44,https://www.boxofficemojo.com/weekend/2016W44/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl746554881/?ref_=bo_wey_table_14
5,Nov 4-6,180664140,143.5,191568495,115.7,123,Doctor Strange,45,https://www.boxofficemojo.com/weekend/2016W45/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl3076752897/?ref_=bo_wey_table_13
4,Nov 11-13,145898093,-19.2,158440850,-17.3,122,Doctor Strange,46,https://www.boxofficemojo.com/weekend/2016W46/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl3076752897/?ref_=bo_wey_table_12
45,Nov 18-20,146558755,0.5,157984223,-0.3,121,Fantastic Beasts and Where to Find Them,47,https://www.boxofficemojo.com/weekend/2016W47/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl3696264705/?ref_=bo_wey_table_11
3,Nov 25-27,170608751,16.4,184385596,16.7,116,Moana,48,https://www.boxofficemojo.com/weekend/2016W48/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl4249847297/?ref_=bo_wey_table_8
2,Dec 2-4,83749622,-50.9,95805897,-48.0,131,Moana,49,https://www.boxofficemojo.com/weekend/2016W49/?ref_=bo_wey_table_7,https://www.boxofficemojo.com/release/rl4249847297/?ref_=bo_wey_table_7
1,Dec 9-11,71566771,-14.5,83717240,-12.6,114,Moana,50,https://www.boxofficemojo.com/weekend/2016W50/?ref_=bo_wey_table_6,https://www.boxofficemojo.com/release/rl4249847297/?ref_=bo_wey_table_6
